11510 22800
-0.120857 -0.145537 0.450301
-0.140968 -0.147296 0.438713
-0.155940 -0.149644 0.429060
-0.165309 -0.153127 0.423095
-0.167893 -0.157335 0.420721
-0.164271 -0.159747 0.422203
-0.150033 -0.157434 0.429963
-0.125839 -0.151354 0.443164
-0.097340 -0.144415 0.458948
-0.067396 -0.140183 0.473568
-0.039031 -0.139513 0.481844
-0.008091 -0.138548 0.485207
-0.015693 0.063227 0.523389
-0.158752 0.099433 0.466857
-0.022781 0.116151 0.604926
-0.162824 0.198736 0.418618
-0.021897 0.217886 0.612533
-0.124517 0.217544 0.469677
-0.140920 0.129278 0.508526
-0.015045 0.085492 0.561469
-0.153231 0.115083 0.487159
-0.142873 0.210861 0.440116
-0.015238 0.298223 0.546770
-0.123032 0.264124 0.443850
-0.144943 0.248998 0.422407
-0.169175 0.231810 0.405504
-0.027290 0.152617 0.623755
-0.146006 0.155609 0.499598
-0.161896 0.142231 0.472839
-0.171602 0.123264 0.449934
-0.015234 0.341636 0.508217
-0.123894 0.292527 0.427258
-0.148176 0.274398 0.408720
-0.174613 0.256280 0.393173
-0.018222 0.253958 0.586555
-0.121870 0.240573 0.458016
-0.142240 0.229940 0.431766
-0.163930 0.214744 0.413338
-0.025290 0.187606 0.623889
-0.136430 0.188712 0.483474
-0.153559 0.180030 0.454252
-0.168859 0.164526 0.432222
-0.100763 0.309011 0.448186
-0.102593 0.277044 0.469095
-0.104587 0.249258 0.488598
-0.108501 0.224572 0.504134
-0.117563 0.195589 0.519003
-0.124325 0.165031 0.532109
-0.122386 0.140141 0.537071
-0.112652 0.123446 0.534168
-0.134602 0.094917 0.480618
-0.078214 0.323350 0.470177
-0.080956 0.288077 0.496305
-0.085961 0.255081 0.523287
-0.090712 0.228063 0.543813
-0.096891 0.199487 0.559245
-0.099429 0.168870 0.569005
-0.094331 0.143729 0.568765
-0.050717 0.336441 0.493540
-0.051872 0.296888 0.527021
-0.056918 0.256681 0.562702
-0.062183 0.224040 0.586352
-0.068025 0.194729 0.598408
-0.069341 0.162945 0.601097
-0.062070 0.133431 0.592022
-0.085652 0.127305 0.559013
-0.034754 0.083340 0.514691
-0.134007 0.106754 0.493888
-0.035793 0.099338 0.554981
-0.103891 0.077898 0.476164
-0.073497 0.079240 0.489402
-0.127333 0.083397 0.470801
-0.128703 0.116184 0.511028
-0.058799 0.120284 0.576094
-0.052214 0.080930 0.499705
-0.046118 0.153149 0.497076
-0.053069 0.142405 0.484681
-0.079598 0.149741 0.477297
-0.082845 0.162354 0.488784
-0.050476 0.144959 0.538997
-0.040852 0.127888 0.523279
-0.046998 0.117328 0.500781
-0.058310 0.115537 0.488543
-0.074383 0.114196 0.483497
-0.090075 0.114868 0.479545
-0.100082 0.118522 0.478767
-0.103353 0.123467 0.482461
-0.101438 0.128475 0.490447
-0.098606 0.135668 0.500059
-0.091412 0.142996 0.513677
-0.076298 0.149585 0.530090
-0.069651 0.162075 0.494748
-0.067658 0.145309 0.480087
-0.089534 0.163142 0.485398
-0.087946 0.155313 0.476789
-0.153391 0.081245 0.449861
-0.180128 0.180758 0.408098
-0.192428 0.215639 0.395170
-0.173541 0.102555 0.433456
-0.201322 0.239944 0.383148
-0.183903 0.197286 0.403535
-0.180106 0.144633 0.419193
-0.111433 0.059908 0.466797
-0.067993 0.059440 0.496321
-0.040047 0.057841 0.510090
-0.015405 0.049101 0.516546
-0.149340 0.064957 0.438892
-0.191975 0.159566 0.405735
-0.214508 0.199085 0.390520
-0.171043 0.083831 0.425177
-0.229027 0.222431 0.378078
-0.201687 0.180394 0.398597
-0.184255 0.122423 0.413893
-0.021839 -0.234205 0.505930
-0.127753 -0.211740 0.469406
-0.237462 -0.156220 0.402849
-0.015820 -0.054359 0.530815
-0.197173 -0.105441 0.449639
-0.024630 -0.290184 0.469954
-0.149967 -0.251977 0.443091
-0.278273 -0.153308 0.388605
-0.228812 -0.063812 0.430275
-0.317518 0.028060 0.385973
-0.254686 -0.384379 0.346565
-0.368116 -0.145645 0.336366
-0.042016 -0.483974 0.451356
-0.042040 -0.568459 0.364071
-0.309775 -0.439127 0.268768
-0.452695 -0.140439 0.265582
-0.385005 0.100750 0.357215
-0.031851 -0.347325 0.468502
-0.188958 -0.309396 0.404619
-0.320227 -0.148623 0.366507
-0.268594 -0.014392 0.401285
-0.040387 -0.049741 0.528675
-0.064453 -0.045601 0.521725
-0.434984 0.035962 0.323878
-0.345535 -0.028480 0.370572
-0.291915 -0.062215 0.394585
-0.251924 -0.096919 0.417287
-0.221720 -0.120885 0.429836
-0.459063 -0.049205 0.286381
-0.362990 -0.087400 0.351759
-0.310653 -0.107404 0.380489
-0.271157 -0.126740 0.401287
-0.236865 -0.139545 0.413486
-0.153785 -0.546344 0.343192
-0.132774 -0.466104 0.425886
-0.093994 -0.347104 0.449440
-0.074517 -0.288130 0.464197
-0.059144 -0.231739 0.501358
-0.241789 -0.495171 0.304207
-0.201780 -0.429935 0.384135
-0.143455 -0.336453 0.426440
-0.113676 -0.275789 0.456127
-0.091716 -0.224829 0.489992
-0.274446 0.193588 0.374676
-0.238959 0.139961 0.394749
-0.203009 0.085532 0.404189
-0.172589 0.032518 0.434411
-0.138253 -0.068048 0.488486
-0.404238 -0.311560 0.240827
-0.331168 -0.278401 0.321906
-0.270756 -0.241959 0.364915
-0.222278 -0.208181 0.397166
-0.192296 -0.182865 0.422590
-0.332916 0.151253 0.370225
-0.283813 0.082400 0.393246
-0.240508 0.035919 0.401943
-0.205632 -0.020223 0.435153
-0.168293 -0.088605 0.470955
-0.100204 -0.052062 0.506947
-0.434463 -0.227831 0.249575
-0.357440 -0.211626 0.328326
-0.307370 -0.195450 0.360460
-0.259779 -0.180252 0.384041
-0.216742 -0.171723 0.404080
-0.362874 -0.379158 0.245634
-0.296896 -0.334131 0.325012
-0.231001 -0.276482 0.383784
-0.186014 -0.229624 0.420282
-0.162426 -0.195529 0.444550
-0.064670 -0.252598 0.487296
-0.022456 -0.257074 0.489015
-0.013030 -0.003280 0.512435
-0.037145 0.003843 0.512493
-0.065418 0.011581 0.504892
-0.111078 0.013341 0.478200
-0.158607 -0.009663 0.460032
-0.189509 -0.054110 0.453863
-0.214096 -0.086188 0.440298
-0.237681 -0.109838 0.423670
-0.255140 -0.133881 0.407136
-0.258495 -0.155287 0.395414
-0.237761 -0.175399 0.393679
-0.205678 -0.195242 0.410496
-0.172620 -0.212509 0.433115
-0.137584 -0.230024 0.457684
-0.099964 -0.244144 0.477141
-0.083062 -0.316312 0.453096
-0.027425 -0.314943 0.465601
-0.187816 0.055365 0.418004
-0.220445 0.008698 0.417524
-0.244073 -0.039910 0.417778
-0.267341 -0.081263 0.409108
-0.287684 -0.118039 0.393287
-0.297650 -0.151018 0.379114
-0.283091 -0.187546 0.373365
-0.244001 -0.223525 0.382812
-0.203114 -0.248915 0.406257
-0.164471 -0.276499 0.427171
-0.125855 -0.305347 0.440308
-0.114540 -0.403793 0.445817
-0.039215 -0.412594 0.469538
-0.220951 0.116047 0.397520
-0.262550 0.059838 0.395720
-0.293967 0.007564 0.391134
-0.319399 -0.044638 0.380460
-0.336848 -0.096615 0.365714
-0.343086 -0.146861 0.352431
-0.330991 -0.203435 0.346347
-0.300120 -0.261396 0.344828
-0.264160 -0.308124 0.354695
-0.223224 -0.347700 0.376286
-0.172617 -0.381926 0.409644
-0.145765 -0.520877 0.384776
-0.041370 -0.542889 0.406897
-0.256643 0.163873 0.388042
-0.308030 0.112377 0.385642
-0.350592 0.058645 0.375502
-0.385141 -0.003507 0.353796
-0.403778 -0.073226 0.328334
-0.406727 -0.143769 0.308999
-0.392691 -0.219102 0.298147
-0.364205 -0.292971 0.290780
-0.327411 -0.355865 0.293154
-0.282713 -0.414174 0.312385
-0.226383 -0.471146 0.344949
-0.065076 -0.709149 -0.044241
-0.374046 -0.529352 -0.176463
-0.595229 -0.152285 -0.020873
-0.609367 -0.052291 -0.010088
-0.188877 -0.668957 -0.071182
-0.290653 -0.603053 -0.124273
-0.500224 -0.367740 -0.086430
-0.562361 -0.263844 -0.044363
-0.432178 -0.445962 -0.151777
-0.521581 -0.041260 0.209230
-0.506495 -0.143848 0.190996
-0.490638 -0.242827 0.172488
-0.460578 -0.335671 0.153746
-0.416249 -0.413068 0.150034
-0.352627 -0.475909 0.165940
-0.266984 -0.530617 0.202612
-0.163071 -0.576373 0.243750
-0.045268 -0.600118 0.269566
-0.574931 -0.049997 0.101135
-0.561544 -0.152608 0.087505
-0.538936 -0.258204 0.067091
-0.496089 -0.357148 0.037245
-0.439654 -0.435842 0.004450
-0.369242 -0.499825 -0.005366
-0.282847 -0.563381 0.023794
-0.174053 -0.619845 0.066853
-0.051819 -0.651934 0.096862
-0.175918 0.286887 0.379622
-0.123812 0.325270 0.408130
-0.098844 0.342407 0.427618
-0.149533 0.306169 0.391883
-0.075634 0.357103 0.448186
-0.049279 0.370447 0.467846
-0.015595 0.376756 0.479120
-0.206174 0.268920 0.370016
-0.240975 0.251320 0.363262
-0.474711 0.096928 0.296012
-0.351642 0.194911 0.351030
-0.413066 0.151305 0.335534
-0.288856 0.228228 0.357808
-0.543694 0.059116 0.210294
-0.595185 0.045603 0.105136
-0.618862 0.039569 -0.003934
-0.147277 0.435207 0.327361
-0.159561 0.430232 0.326385
-0.237909 0.403642 0.328964
-0.317189 0.386919 0.320913
-0.145083 0.441369 0.327157
-0.412132 0.430006 0.266473
-0.153462 0.450702 0.324539
-0.426809 0.445396 0.252125
-0.218571 0.504820 0.333322
-0.307567 0.512530 0.336684
-0.394458 0.483628 0.291674
-0.417132 0.463562 0.260668
-0.137093 0.402396 0.344803
-0.158289 0.375355 0.344828
-0.217952 0.343433 0.338999
-0.311780 0.326881 0.325856
-0.125523 0.438355 0.340495
-0.131521 0.467221 0.335816
-0.473938 0.444772 0.211150
-0.198017 0.521462 0.338060
-0.317389 0.539499 0.342871
-0.428842 0.503681 0.278635
-0.460956 0.468718 0.234686
-0.465860 0.402593 0.220520
-0.444477 0.330710 0.264450
-0.093321 0.506737 0.365683
-0.537775 0.458274 0.146925
-0.191432 0.555696 0.352634
-0.337153 0.568074 0.342571
-0.475609 0.538624 0.254633
-0.519865 0.495556 0.182046
-0.552189 0.393232 0.138990
-0.568775 0.298345 0.167310
-0.399717 0.488859 0.293056
-0.307953 0.520456 0.340280
-0.216371 0.511588 0.334873
-0.149371 0.454269 0.326177
-0.141598 0.440850 0.329434
-0.145626 0.429881 0.330246
-0.162570 0.418779 0.331000
-0.235073 0.387951 0.329395
-0.316665 0.369834 0.319436
-0.418879 0.419688 0.262737
-0.432657 0.447306 0.248102
-0.423287 0.465745 0.259455
-0.408340 0.494978 0.290060
-0.310677 0.527423 0.341921
-0.211421 0.515945 0.335596
-0.146369 0.458713 0.327949
-0.138818 0.440476 0.331165
-0.144949 0.423731 0.333293
-0.165022 0.405510 0.333326
-0.230352 0.374613 0.331347
-0.316717 0.360118 0.319943
-0.427614 0.411425 0.255733
-0.442857 0.446614 0.239378
-0.433583 0.466785 0.254411
-0.419449 0.499706 0.282559
-0.315163 0.532804 0.342263
-0.204372 0.516965 0.335845
-0.143505 0.463689 0.329373
-0.135652 0.440592 0.333051
-0.143403 0.416110 0.336987
-0.163850 0.392000 0.336395
-0.225054 0.359728 0.334752
-0.315138 0.346860 0.322126
-0.440759 0.407188 0.244845
-0.456643 0.445598 0.227180
-0.446677 0.467485 0.245258
-0.133856 0.535451 0.355777
-0.158128 0.494508 0.332864
-0.168899 0.490572 0.328845
-0.173630 0.487648 0.327374
-0.177432 0.482270 0.325175
-0.179742 0.476259 0.323206
-0.261424 0.568046 0.352537
-0.250830 0.538631 0.346097
-0.252997 0.532734 0.344380
-0.256582 0.529787 0.343724
-0.259585 0.524497 0.342478
-0.260853 0.516629 0.340397
-0.406980 0.556636 0.309558
-0.380070 0.526331 0.317620
-0.375501 0.520491 0.318360
-0.366377 0.513956 0.321533
-0.360041 0.506152 0.321838
-0.357312 0.499539 0.317724
-0.185851 0.357660 0.342478
-0.193328 0.373163 0.335491
-0.197053 0.387730 0.331962
-0.197110 0.402947 0.329890
-0.195211 0.419245 0.328599
-0.258163 0.332553 0.335008
-0.264580 0.350101 0.331710
-0.269469 0.364753 0.328637
-0.273585 0.376836 0.326563
-0.276406 0.392313 0.327085
-0.376821 0.332046 0.302467
-0.373826 0.357009 0.298890
-0.365621 0.366758 0.301839
-0.358996 0.374546 0.305102
-0.357249 0.392083 0.307396
-0.547184 0.424108 0.136609
-0.472798 0.424256 0.208524
-0.451512 0.427484 0.230311
-0.438725 0.430431 0.243146
-0.429859 0.435624 0.251289
-0.423368 0.441162 0.255095
-0.389473 0.408705 0.287358
-0.394460 0.393684 0.284415
-0.404354 0.386563 0.277515
-0.418646 0.380758 0.267933
-0.453744 0.373516 0.241784
-0.558493 0.353335 0.149642
-0.484604 0.475089 0.216857
-0.445291 0.513549 0.272570
-0.388419 0.537513 0.316815
-0.323340 0.551429 0.343279
-0.252365 0.550982 0.349095
-0.192054 0.536371 0.343892
-0.142776 0.510732 0.342078
-0.108519 0.477806 0.348577
-0.102601 0.431927 0.358108
-0.125837 0.381938 0.365216
-0.153171 0.356923 0.360271
-0.179750 0.340383 0.353434
-0.211826 0.325667 0.346855
-0.251761 0.313004 0.339960
-0.306403 0.301377 0.330627
-0.372797 0.290185 0.314965
-0.509877 0.315142 0.222385
-0.505245 0.362924 0.197515
-0.505472 0.395905 0.181795
-0.506083 0.422127 0.176084
-0.501244 0.447882 0.185083
-0.514138 0.248306 0.248917
-0.575398 0.226584 0.183598
-0.446010 0.273684 0.289380
-0.432992 0.442545 0.248286
-0.442443 0.441217 0.239260
